Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Effects of urban living environments on mental health in adults","Urban living environments influence specific psychiatric symptom groups through distinct neurobiological pathways.","Jiayuan Xu, Nana Liu, E. Polemiti, Liliana Garcia-Mondragon, Jie Tang, Xiaoxuan Liu, T. Lett, Le Yu, M. Nöthen, Jianfeng Feng, Chunshui Yu, Andre Marquand, G. Schumann, Henrik Walter, A. Heinz, M. Ralser, S. Twardziok, N. Vaidya, E. Serin, Marcel Jentsch, Esther Hitchen, R. Eils, Ulrike Taron, T. Schütz, K. Schepanski, J. Banks, T. Banaschewski, Karina Jansone, N. Christmann, A. Meyer-Lindenberg, H. Tost, N. Holz, E. Schwarz, A. Stringaris, M. Neidhart, F. Nees, Sebastian Siehl, Ole A. Andreassen, Lars T. Westlye, D. van der Meer, S. Fernandez, R. Kjelkenes, H. Ask, M. Rapp, M. Tschorn, Sarah Böttger, G. Novarino, Lena Marr, M. Slater, Guillem Feixas Viapiana, Francisco José Eiroá Orosa, J.S. Gallego, Alvaro Pastor, A. Forstner, Per Hoffmann, Markus M. Nöthen, Andreas J. Forstner, Isabelle Claus, Abbi Miller, S. Heilmann-Heimbach, P. Sommer, Mona Boye, Johannes H. Wilbertz, Karen L. Schmitt, V. Jirsa, S. Petkoski, S. Pitel, L. Otten, Anastasios P. Athanasiadis, Charlie Pearmund, B. Spanlang, Elena Alvarez, Mavi Sanchez, Arantxa Giner, S. Hese, Paul Renner, T. Jia, Yanting Gong, Yunman Xia, Xiao Chang, V. Calhoun, Jingyu Liu, P. Thompson, N. Clinton, S. Desrivières, Allan H. Young, B. Stahl, George Ogoh",2023,134,"Urban-living individuals are exposed to many environmental factors that may combine and interact to influence mental health. While individual factors of an urban environment have been investigated in isolation, no attempt has been made to model how complex, real-life exposure to living in the city relates to brain and mental health, and how this is moderated by genetic factors. Using the data of 156,075 participants from the UK Biobank, we carried out sparse canonical correlation analyses to investigate the relationships between urban environments and psychiatric symptoms. We found an environmental profile of social deprivation, air pollution, street network and urban land-use density that was positively correlated with an affective symptom group (r = 0.22, P < 0.001), mediated by brain volume differences consistent with reward processing, and moderated by genes enriched for stress response, including CRHR1, explaining 2.01% of the variance in brain volume differences. Protective factors such as greenness and generous destination accessibility were negatively correlated with an anxiety symptom group (r = 0.10, P < 0.001), mediated by brain regions necessary for emotion regulation and moderated by EXD3, explaining 1.65% of the variance. The third urban environmental profile was correlated with an emotional instability symptom group (r = 0.03, P < 0.001). Our findings suggest that different environmental profiles of urban living may influence specific psychiatric symptom groups through distinct neurobiological pathways.","non-rct observational study","Nature Medicine","1","10.1038/s41591-023-02365-w","https://consensus.app/papers/effects-of-urban-living-environments-on-mental-health-in-xu-liu/de84534618665c5382c1d48cd4e27e5c/"
"Loneliness and abuse as risk factors for suicide in older adults: new developments and the contribution of the WPA Section on Old Age Psychiatry","Lifestyle interventions, such as physical exercise, meditation, and sleep, can improve mental and physical health, reducing the risk of psychiatric symptoms and disorders.","Carlos Augusto Mendonça Lima, D. de Leo, G. Ivbijaro, I. Švab",2021,17,"455 includes studies on the impact of lifestyle behaviors on the prevalence of psychiatric symptoms or disorders in general populations, the impact of lifestyle behaviors on symptoms among people at risk for psychiatric disorders, the impact of lifestyle interventions on severity of symptoms among people with a psychiatric disorder, the neuroscience of brain response to lifestyle behaviors, and the science of lifestyle behavior change. The domains of lifestyle behaviors include physical exercise, diet and nutrition, meditation, mind-body practices, sleep, and social relationships. There is now an impressive body of literature on the neuroscience of physical exercise suggesting an upregulation of neurotransmitters associated with positive mood and neurotrophic factors that support neuronal vitality. Neurotrophins promote neoneurogenesis and synaptic proliferation associated with increases in regional brain volume and connectivity and enhanced cognitive function. Sustained exercise leads to epigenetic upregulation of brain-derived neurotrophic factor (BDNF) synthesis, promoting brain health over a lifetime. These regulatory interactions have been correlated with the evolutionary steps allowing early hominids to thrive in a hunter-gather lifestyle. There is a similarly impressive literature demonstrating robust brain functional and volumetric responses to meditation and sleep. We also know that lifestyle factors are powerfully correlated with the prevalence, onset and perpetuation of psychiatric symptoms and syndromes. Sedentary behavior has been correlated with risk for suicidal behavior, depression, cognitive decline of aging, and psychosis, while physical exercise has been correlated with improvements in mood, motivation and cognition. Sleeping less than 6 hours nightly is correlated with risk for major neurocognitive disorders. Mindfulness practices have been associated with improvements in anxiety and treatment-resistant depression. A Mediterranean style diet has been correlated with improvements in depression, and omega-3 fatty acids and N-acetylcysteine appear to have neuroprotective effects. However, our societies continue to shape human behavior in unhealthy directions. Sedentary time continues to rise in parallel to increases in substance abuse, suicide and emergency room visits for mental health care. Traditional diets are being progressively displaced by processed foods. Twenty-four hour virtual experiences constrain sleep opportunity, and social interaction is increasingly impersonal. Global health care systems are stressed by escalating rates of lifestyle-related disorders such as diabetes mellitus type 2, cardiovascular disease, cancer and psychiatric disorders. Lifestyle Psychiatry offers a unique opportunity for psychiatrists to join and lead other medical disciplines in promoting attention to the impact of lifestyle on health and disease. When clearly identified, the potential dual benefit for mental and physical health may enhance motivation to adhere to positive lifestyle changes. Psychiatrists also bring expertise in effective behavior change strategies. Lifestyle interventions may be useful for primary prevention, firstline therapy, multimodal therapy, augmentation, precision therapy and relapse prevention. There is an urgent need for psychiatry to step forward to assist governments, employers, corporations and health care systems to effectively position health-promoting lifestyle practices to address the rising tide of distress, disability and loss of life flowing from modern cultural trends in a global society. We must articulate the strength of the current evidence on the impact of lifestyle behaviors on mental and physical health outcomes, while identifying areas where further evidence is needed to offset the influences of globalization and corporate interest on human and societal health. The WPA Section on Medicine, Psychiatry and Primary Care aims to develop aware ness and expand consideration of Lifestyle Psychiatry as a vital component in improving the health and well-being of people around the world.","","World Psychiatry","1","10.1002/wps.20899","https://consensus.app/papers/loneliness-and-abuse-as-risk-factors-for-suicide-in-older-lima-leo/770348a8b757539387b1a2950c4b7468/"
"A new science of emotion: implications for functional neurological disorder.","Altered emotion category construction is an integral component of the pathophysiology of functional neurological disorder and related functional somatic symptoms, offering an integrated viewpoint across neurology, psychiatry, psychology, and cognitive-affective neuroscience.","Johannes Jungilligens, Sara Paredes-Echeverri, S. Popkirov, L. F. Barrett, D. Perez",2022,116,"Functional neurological disorder reflects impairments in brain networks leading to distressing motor, sensory and/or cognitive symptoms that demonstrate positive clinical signs on examination incongruent with other conditions. A central issue in historical and contemporary formulations of functional neurological disorder has been the mechanistic and aetiological role of emotions. However, the debate has mostly omitted fundamental questions about the nature of emotions in the first place. In this perspective article, we first outline a set of relevant working principles of the brain (e.g. allostasis, predictive processing, interoception and affect), followed by a focused review of the theory of constructed emotion to introduce a new understanding of what emotions are. Building on this theoretical framework, we formulate how altered emotion category construction can be an integral component of the pathophysiology of functional neurological disorder and related functional somatic symptoms. In doing so, we address several themes for the functional neurological disorder field including: (i) how energy regulation and the process of emotion category construction relate to symptom generation, including revisiting alexithymia, 'panic attack without panic', dissociation, insecure attachment and the influential role of life experiences; (ii) re-interpret select neurobiological research findings in functional neurological disorder cohorts through the lens of the theory of constructed emotion to illustrate its potential mechanistic relevance; and (iii) discuss therapeutic implications. While we continue to support that functional neurological disorder is mechanistically and aetiologically heterogenous, consideration of how the theory of constructed emotion relates to the generation and maintenance of functional neurological and functional somatic symptoms offers an integrated viewpoint that cuts across neurology, psychiatry, psychology and cognitive-affective neuroscience.","","Brain : a journal of neurology","1","10.1093/brain/awac204","https://consensus.app/papers/a-new-science-of-emotion-implications-for-functional-jungilligens-paredes-echeverri/50304902afe75e68b3627b3979c02b1a/"
"Overall comorbidities in functional neurological disorder: A narrative review.","Frequent comorbidities, such as fatigue, cognitive symptoms, psychiatric disorders, and stress factors, significantly increase the burden of functional neurological disorders in patients.","G. Carle-Toulemonde, J. Goutte, Nathalie Do-Quang-Cantagrel, S. Mouchabac, Charlotte Joly, B. Garcin",2023,38,"","systematic review","L'Encephale","1","10.1016/j.encep.2023.06.004","https://consensus.app/papers/overall-comorbidities-in-functional-neurological-carle-toulemonde-goutte/81bda08fdeb458759955a89f0b1a79a2/"
"A review of functional neurological symptom disorder etiology and the integrated etiological summary model.","The integrated etiological summary model suggests that functional neurological symptom disorder (FNSD) is influenced by trauma, psychiatric symptoms, somatic symptoms, illness exposure, symptom monitoring, and neurobiological factors.","Aaron D. Fobian, Lindsey Elliott",2019,103,"Functional neurological symptom disorder (FNSD) is characterized by neurological symptoms that are unexplained by other traditional neurological or medical conditions. Both physicians and patients have limited understanding of FNSD, which is often explained as a physical manifestation of psychological distress. Recently, diagnostic criteria have shifted from requiring a preceding stressor to relying on positive symptoms. Given this shift, we have provided a review of the etiology of FNSD. Predisposing factors include trauma or psychiatric symptoms, somatic symptoms, illness exposure, symptom monitoring and neurobiological factors. Neurobiological research has indicated that patients with FNSD have a decreased sense of agency and abnormal attentional focus on the affected area, both of which are modulated by beliefs and expectations about illness. Sick role and secondary gain may reinforce and maintain FNSD. The integrated etiological summary model combines research from various fields and other recent etiological models to represent the current understanding of FNSD etiology. It discusses a potential causal mechanism and informs future research and treatment.","literature review","Journal of psychiatry & neuroscience : JPN","1","10.1503/jpn.170190","https://consensus.app/papers/a-review-of-functional-neurological-symptom-disorder-fobian-elliott/fac71d26e3c350f38183032c48c6fbf7/"
"A meta‐review of “lifestyle psychiatry”: the role of exercise, smoking, diet and sleep in the prevention and treatment of mental disorders","Physical activity, tobacco smoking, diet, and poor sleep are key lifestyle factors in preventing and treating mental disorders.","J. Firth, M. Solmi, R. Wootton, D. Vancampfort, F. Schuch, E. Hoare, S. Gilbody, J. Torous, S. Teasdale, S. Jackson, Lee Smith, Melissa Eaton, F. Jacka, N. Veronese, W. Marx, Garcia Ashdown-Franks, D. Siskind, J. Sarris, S. Rosenbaum, A. Carvalho, B. Stubbs",2020,753,"There is increasing academic and clinical interest in how ""lifestyle factors"" traditionally associated with physical health may also relate to mental health and psychological well-being. In response, international and national health bodies are producing guidelines to address health behaviors in the prevention and treatment of mental illness. However, the current evidence for the causal role of lifestyle factors in the onset and prognosis of mental disorders is unclear. We performed a systematic meta-review of the top-tier evidence examining how physical activity, sleep, dietary patterns and tobacco smoking impact on the risk and treatment outcomes across a range of mental disorders. Results from 29 meta-analyses of prospective/cohort studies, 12 Mendelian randomization studies, two meta-reviews, and two meta-analyses of randomized controlled trials were synthesized to generate overviews of the evidence for targeting each of the specific lifestyle factors in the prevention and treatment of depression, anxiety and stress-related disorders, schizophrenia, bipolar disorder, and attention-deficit/hyperactivity disorder. Standout findings include: a) convergent evidence indicating the use of physical activity in primary prevention and clinical treatment across a spectrum of mental disorders; b) emerging evidence implicating tobacco smoking as a causal factor in onset of both common and severe mental illness; c) the need to clearly establish causal relations between dietary patterns and risk of mental illness, and how diet should be best addressed within mental health care; and d) poor sleep as a risk factor for mental illness, although with further research required to understand the complex, bidirectional relations and the benefits of non-pharmacological sleep-focused interventions. The potentially shared neurobiological pathways between multiple lifestyle factors and mental health are discussed, along with directions for future research, and recommendations for the implementation of these findings at public health and clinical service levels.","meta-analysis","World Psychiatry","1","10.1002/wps.20773","https://consensus.app/papers/a-meta%E2%80%90review-of-%E2%80%9C-lifestyle-psychiatry-%E2%80%9D-the-role-of-firth-solmi/d7d4d0e4c0155d7e89df81331471fac6/"
"Modifiable lifestyle factors influencing neurological and psychiatric disorders mediated by structural brain reserve: An observational and Mendelian randomization study.","Multiple lifestyle factors, including smoking, playing computer games, and screen time, are associated with neurological and psychiatric disorders, with brain structure acting as a potential biological mediator.","Yiran Dong, Pan Zhang, Jinghui Zhong, Jinjing Wang, Yingjie Xu, Hongmei Huang, Xinfeng Liu, Wen Sun",2024,6,"","non-rct observational study","Journal of affective disorders","1","10.1016/j.jad.2024.12.038","https://consensus.app/papers/modifiable-lifestyle-factors-influencing-neurological-dong-zhang/b3a5f126f7875a5488b14827328a4736/"
"Functional neurological disorder: new subtypes and shared mechanisms","Functional neurological disorder, a common condition, can be diagnosed using symptom patterns and shared mechanisms, with four distinct subtypes and a need for tailored multidisciplinary treatment.","M. Hallett, S. Aybek, B. Dworetzky, L. Mcwhirter, J. Staab, J. Stone",2022,273,"","","The Lancet Neurology","1","10.1016/s1474-4422(21)00422-1","https://consensus.app/papers/functional-neurological-disorder-new-subtypes-and-shared-hallett-aybek/f0e60c6529585559bc42e6bea439ef35/"
"Real-time biopsychosocial antecedents and correlates of functional neurological symptoms in daily life: A pilot remote monitoring technology study","Remote monitoring technologies are feasible and acceptable tools for identifying daily events and negative affect as potential triggers of functional neurological symptoms in everyday life.","Susannah Pick, L. Millman, Jessica Davies, John Hodsoll, B. Stanton, A. David, Mark J Edwards, Laura H Goldstein, Mitul A. Mehta, Timothy R. Nicholson, Antje A T S Reinders, J. Winston, T. Chalder, M. Hotopf",2024,5,"","non-rct observational study","Psychiatry Research","1","10.1016/j.psychres.2024.116247","https://consensus.app/papers/realtime-biopsychosocial-antecedents-and-correlates-of-pick-millman/2a5992bc72d65a2a845b316c72148136/"
"Behavioral and Psychiatric Symptoms in Patients with Severe Traumatic Brain Injury: A Comprehensive Overview","Severe traumatic brain injury (TBI) patients often experience long-lasting neuropsychological and neuropsychiatric disorders, with cognitive behavioral and emotional deficits occurring within the first six months.","",2023,19,"Traumatic brain injury (TBI) is defined as an altered brain structure or function produced by an external force. Adults surviving moderate and severe TBI often experience long-lasting neuropsychological and neuropsychiatric disorders (NPS). NPS can occur as primary psychiatric complications or could be an exacerbation of pre-existing compensated conditions. It has been shown that changes in behavior following moderate to severe TBI have a prevalence rate of 25-88%, depending on the methodology used by the different studies. Most of current literature has found that cognitive behavioral and emotional deficit following TBI occurs within the first six months whereas after 1-2 years the condition becomes stable. Identifying the risk factors for poor outcome is the first step to reduce the sequelae. Patients with TBI have an adjusted relative risk of developing any NPS several-fold higher than in the general population after six months of moderate-severe TBI. All NPS features of an individual's life, including social, working, and familiar relationships, may be affected by the injury, with negative consequences on quality of life. This overview aims to investigate the most frequent psychiatric, behavioral, and emotional symptoms in patients suffering from TBI as to improve the clinical practice and tailor a more specific rehabilitation training.","","Biomedicines","1","10.3390/biomedicines11051449","https://consensus.app/papers/behavioral-and-psychiatric-symptoms-in-patients-with/e5552094f85d59c08287448f165827cc/"
