Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"The meaning and feeling of the time and space between psychotherapy sessions and everyday life: Client experiences of transitions","Transitions between psychotherapy sessions and everyday life are an essential but often overlooked part of the therapy process, impacting both therapy and everyday life.","A. Werbart, Ulf Rådberg, Isa Holm, David Forsström, A. H. Berman",2023,3,"To explore how clients in psychodynamic or psychoanalytic psychotherapy, conducted in the traditional in-person setting, experience the transitions in time and space between psychotherapy sessions and everyday life. Twelve semi-structured interviews were analyzed with inductive experiential thematic analysis, focusing on how the participants experience and make sense of the phenomenon in focus. The participants described therapy as a sheltered space where they could be open, vulnerable, receptive, and present. Approaching and leaving psychotherapy sessions, the participants established different behavioral patterns and routines dealing with their anxieties and resistances. In this in-between area, the participants could handle interconnections and differences between therapy and everyday life. Participants stressed the clinical impact of transitions: transitions affect both therapy and everyday life; disturbed transitions have an adverse impact; transitions are insufficiently addressed in therapy. Transitions between therapy and life appear to be an essential but seldom recognized part of the therapy process beyond the borders of therapy sessions. Implications of these findings for psychotherapy training and practice are discussed, and a tentative transtheoretical framework for further research is proposed.","non-rct observational study","Psychotherapy Research","1","10.1080/10503307.2023.2274061","https://consensus.app/papers/the-meaning-and-feeling-of-the-time-and-space-between-werbart-r%C3%A5dberg/7869dd53bac35b0c9d279282a83b5753/"
"Analysis of Individual Behavior Through a Psychoanalytical Approach: A Literature Review","The psychoanalytical approach provides valuable insights into psychological aspects and human behavior, benefiting clinical settings, education, and personal development.","Nurul Azmi",2023,5,"This literature review explores the analysis of individual behavior using a psychoanalytical approach, focusing on critical writings that elaborate on the concepts proposed by Sigmund Freud and related thinkers. Through synthesis and analysis of various articles, this research aims to provide an in-depth understanding of how the psychoanalytical approach is employed to delve into the complexity of individual behavior. The findings of this literature review reveal the evolution of psychoanalytical concepts from Freudian theory to contemporary contributions in psychology. There is a detailed exploration of how the id, Ego, and superego play crucial roles in shaping individual behavior. Additionally, the study highlights the use of the psychoanalytical approach in addressing aspects such as internal conflicts, defense mechanisms, and the impact of past experiences. In the context of the literature review, it is evident that the analysis of individual behavior through the psychoanalytical approach provides profound insights into psychological aspects and significantly contributes to understanding the variations in human behavior. This review presents a comprehensive overview of the development of psychoanalytical theory and how this approach continues to be relevant in understanding individual behavior. The practical implications of this review are also discussed, emphasizing its relevance in clinical settings, education, and personal development","literature review","International Journal of Education and Humanities","","10.58557/(ijeh).v3i3.184","https://consensus.app/papers/analysis-of-individual-behavior-through-a-azmi/5894570dcb485230b7556bf096ceed00/"
"The status of psychodynamic psychotherapy as an empirically supported treatment for common mental disorders – an umbrella review based on updated criteria","Psychodynamic therapy (PDT) is an empirically-supported treatment for common mental disorders, with strong recommendations for treating depressive, anxiety, personality, and somatic symptom disorders.","F. Leichsenring, A. Abbass, N. Heim, John R. Keefe, S. Kisely, P. Luyten, S. Rabung, Christiane Steinert",2023,60,"To assess the current status of psychodynamic therapy (PDT) as an empirically supported treatment (EST), we carried out a pre-registered systematic umbrella review addressing the evidence for PDT in common mental disorders in adults, based on an updated model for ESTs. Following this model, we focused on meta-analyses of randomized controlled trials (RCTs) published in the past two years to assess efficacy. In addition, we reviewed the evidence on effectiveness, cost-effectiveness and mechanisms of change. Meta-analyses were evaluated by at least two raters using the proposed updated criteria, i.e. effect sizes, risk of bias, inconsistency, indirectness, imprecision, publication bias, treatment fidelity, and their quality as well as that of primary studies. To assess the quality of evidence we applied the GRADE system. A systematic search identified recent meta-analyses on the efficacy of PDT in depressive, anxiety, personality and somatic symptom disorders. High quality evidence in depressive and somatic symptom disorders and moderate quality evidence in anxiety and personality disorders showed that PDT is superior to (inactive and active) control conditions in reducing target symptoms with clinically meaningful effect sizes. Moderate quality evidence suggests that PDT is as efficacious as other active therapies in these disorders. The benefits of PDT outweigh its costs and harms. Furthermore, evidence was found for long-term effects, improving functioning, effectiveness, cost-effectiveness and mechanisms of change in the aforementioned disorders. Some limitations in specific research areas exist, such as risk of bias and imprecision, which are, however, comparable to those of other evidence-based psychotherapies. Thus, according to the updated EST model, PDT proved to be an empirically-supported treatment for common mental disorders. Of the three options for recommendation provided by the updated model (i.e., ""very strong"", ""strong"" or ""weak""), the new EST criteria suggest that a strong recommendation for treating the aforementioned mental disorders with PDT is the most appropriate option. In conclusion, PDT represents an evidence-based psychotherapy. This is clinically important since no single therapeutic approach fits all psychiatric patients, as shown by the limited success rates across all evidence-based treatments.","systematic review","World Psychiatry","1","10.1002/wps.21104","https://consensus.app/papers/the-status-of-psychodynamic-psychotherapy-as-an-leichsenring-abbass/fc55e7e0b6b057af8990d83574cf7ebd/"
"Love, Work, and Striving for the Self in Balance: Anaclitic and Introjective Patients’ Experiences of Change in Psychoanalysis","Psychoanalysis leads to positive changes in both anaclitic and introjective patients, promoting a better balance between love and work, relatedness, or self-definition.","A. Werbart, Annelie Bergstedt, S. Levander",2020,7,"One of the most famous quotations credited to Freud is that, when asked what he thought a psychologically healthy person should be able to do, he said: ""to love and to work."" A central goal in psychoanalytic treatment is to bring about changes in basic, mostly unconscious, mental structures. The aim of this study was to investigate, applying an inductive thematic analysis, the experiences anaclitic and introjective patients have had of change after psychoanalysis with regard to the domainsand. Analyzing patient interviews, we identified a third domain of experienced changes,, which refers to increased self-understanding, self-acceptance, and self-care rather than an improved dynamic balance between love and work. All patients experienced several positive changes in their lives during and after psychoanalysis. We also found distinctive patterns that appear to be closely linked to the patients' initial personality orientation with regard to relationships and achievements. Generally, the patients described symmetrical, but opposite, change processes within the two specific domains of Love and Work. For the anaclitic patients, this indicated a movement inward in the domain of Love (from an excessive preoccupation with issues of their relationship with others toward more distinct self-boundaries and increased agency) and outward in the domain of Work (from unenterprising toward becoming more outgoing and daring). For the introjective patients, this pointed to a reverse movement outward in the domain of Love (from an excessive preoccupation with issues of autonomy toward increased responsiveness to others and desire to be establish close, mutual relationships) and inward in the domain of Work (from an excessive orientation on achievements toward increased becoming more grounded in their own feelings, needs, and desires). In conclusion, patients in both groups have experienced a reduced preoccupation with issues related to their initially predominant personality dimension (relatedness or self-definition) and increased receptivity to needs typical for the complementary dimension. These changes seem to be mediated by changes in the domain of. Our study suggests the clinical relevance of focusing the therapeutic work on fostering a better and more dynamic balance between love and work, relatedness, or self-definition.","non-rct observational study","Frontiers in Psychology","2","10.3389/fpsyg.2020.00144","https://consensus.app/papers/love-work-and-striving-for-the-self-in-balance-anaclitic-and-werbart-bergstedt/b34c964d01d6517d94e247521d3b871a/"
"Filsafat Dasar dalam Konseling Psikoanalisis : Studi Literatur","This study explores the importance of psychoanalytic counseling in helping individuals discover their abilities and develop confidence through a review of basic philosophy, human nature, personality structure, ego defense mechanisms, and personal development psychoanalytic counseling.","B. Habsy, Nazwatul Mufidha, Cahyaning Shelomita, I. Rahayu, Moch. Ilham Muckorobin",2023,18,"The purpose of this literature study is to help individuals to be more confident by looking for the abilities that exist within them. This article reviews four main points of writing, which cover (1) Basic philosophy, (2) Human nature, (3) Personality structure, (4) Ego defense mechanism, and (5) Personal development psychoanalytic counseling. The method used for this article is a literature study. Psychoanalysis is a useful theory for the analysis of human psychology. Sigmund Shlomo Freud developed this theory due to a bad incident between him and his father. This theory has three structures, namely the id, ego, and superego, in which these three elements continuously interact and result in encouragement within oneself, giving birth to healthy and unhealthy behaviors.","literature review","Indonesian Journal of Educational Counseling","","10.30653/001.202372.266","https://consensus.app/papers/filsafat-dasar-dalam-konseling-psikoanalisis-studi-habsy-mufidha/cd750ea3086157daab058aa1263797ed/"
"Shared realities, therapeutic settings, and countertransference in times of crisis: a multinational qualitative study of psychotherapists’ experiences","Mental health professionals adapt their practices during crises, mobilizing creative internal resources and encouraging improvisation within established frameworks, to maintain therapeutic continuity.","Rose Marie Nassif, R. Radjack, Nour Beaini, Tonnie Choueiri, Gabriel Binkowski, E. Dozio, M. Joubert, Marie-Rose Moro, Layla Tarazi-Sahab, M. E. Husseini",2025,1,"The main aim of this study is to capture the impact of shared external realities - such as global crises - on the therapeutic process, with particular attention to how these events challenge the traditional structures of psychoanalytic and psychotherapeutic work. More specifically, the study seeks to understand how mental health professionals perceive and experience these disruptions, how they have been compelled to question their clinical frameworks, and how they have adapted their practices to maintain therapeutic continuity in a context marked by uncertainty, instability, and the frequent need for improvisation. We conducted a qualitative study among a population consisting of mental health professionals, which were recruited in multiple countries through associations and societies of psychologists, psychotherapists, and psychoanalysts. Data was collected using semi-structured individual interviews. A total of 40 participants were interviewed. The interviews were analyzed using interpretative phenomenological analysis (IPA), which allowed for a dynamic exploration of the participants' lived experiences. The analysis of the data revealed three superordinate themes that are best presented by following the journey of the mental health professional as he or she navigates from external reality (1) to virtual reality (remote therapy) (2), ultimately plunging into the internal reality (internal reorganization linked to his or her ability to create novelty within these complex situations) (3). Our research shows that analysts and therapists experienced significant challenges to their professional identity due to external factors, including the COVID-19 pandemic. These shared experiences enabled the mobilization of creative internal resources and encouraged improvisation within an established framework. This facilitated working through the crisis and supported ongoing professional practice.","non-rct observational study","BMC Psychology","1","10.1186/s40359-025-02962-z","https://consensus.app/papers/shared-realities-therapeutic-settings-and-nassif-radjack/9d1bc973025a5007ab41df26b1730ef1/"
"Transference Assessment in Psychotherapy: A Systematic Review","Transference assessment tools in psychotherapy can enhance patient awareness and improve treatment results, but further research is needed to compare their effectiveness across different patient populations and the therapeutic alliance.","Francesca Marazzi, Alberto Stefana, A. Vecchio, M. Mensi",2025,0,"Transference, initially introduced by Sigmund Freud, represents a crucial concept in psychoanalysis, referring to the displacement of feelings, fantasies, and desires from past relationships onto the therapist. Though central to psychoanalytic therapies, transference is acknowledged across many psychotherapeutic approaches, albeit with differing views on its clinical relevance. Empirical research has shown that transference phenomena occur in all close relationships, including therapeutic settings, and are influenced by factors like the patient's attachment style. While the relationship between transference and therapy outcomes remains ambiguous, insights gained from transference work-particularly through its interpretation-are seen as beneficial to therapeutic progress, enhancing patient's awareness and improving treatment results. This systematic review examines the development and validation of 15 assessment tools for measuring transference, offering a comprehensive overview of instruments used across various psychotherapies. The tools vary in their method of data collection, including observational ratings, clinician reports, and patient self-reports. The review highlights the need for further studies comparing these instruments, exploring their effectiveness across different patient populations, and addressing the relationship between transference and therapeutic alliance to improve clinical practice.","systematic review","Clinical Psychology & Psychotherapy","1","10.1002/cpp.70118","https://consensus.app/papers/transference-assessment-in-psychotherapy-a-systematic-marazzi-stefana/63f5f83631fe51cdad1abc26fb387c1a/"
"A Narrative Literature Review on The Effectiveness of Psychotherapy","Psychoanalysis and CBT show promising results in treating mood and anxiety disorders, while culturally specific therapies like Rabindrik values enhance emotional self-awareness, but require further research for validation across diverse clinical settings.","D. D. Roy, Ankita Dey Tapader",2025,0,"The field of psychotherapy is continuously evolving, with new therapeutic approaches being developed and existing ones refined to address a wide array of psychological issues. Therefore one systematic and comprehensive overview is needed. This narrative literature review systematically compiles and comprehensively overviews various psychotherapies, including psychoanalysis, cognitive-behavioral therapy (CBT), humanistic-existential therapy, art therapy, music therapy, story-drama therapy, and Rabindrik psychotherapy. Conducted through a comprehensive search of databases like Science Direct, APA Psyc Net, Pub Med, Google Scholar, and other sources, as well as relevant conferences, the review focused on English-language peer-reviewed articles published between 2014 and 2024. Excluding non-English articles and those published before 2014, data extraction involved a systematic review of study characteristics and outcomes, with thematic analysis synthesizing common patterns and findings across selected studies. Findings indicate psychoanalysis and psychodynamic psychotherapy sustain efficacy in treating mood and anxiety disorders, despite challenges such as small sample sizes and methodological constraints. Cognitive Behavioral Therapy (CBT) shows broad efficacy, though questions persist regarding the long-term impact and technological barriers. Culturally specific modalities like Rabindra Sangeet and Rabindrik values enhance emotional self-awareness, yet generalizability remains limited. Further research on existential, humanistic, art, drama, and music therapies is crucial to refine applications and validate efficacy across diverse clinical settings. The review underscores varied therapeutic efficacy across contexts, with promising results from psychoanalysis and CBT but ongoing challenges in maintaining long-term effectiveness and methodological rigor. Culturally specific therapies and modalities like group art, drama, narrative, and music therapy demonstrate beneficial outcomes, necessitating standardized methodologies and larger-scale investigations to validate effectiveness across clinical settings. The project is funded by Rabindrik Psychotherapy Research Institute Trust, Kolkata","systematic review","Mind and Society","1","10.56011/mind-mri-134-20242","https://consensus.app/papers/a-narrative-literature-review-on-the-effectiveness-of-roy-tapader/e1262e63876550fe8c8bd1ee6de2ed9c/"
"Pragmatism or idealism: a systematic review and visual analysis of Winnicott’s psychoanalytical treatment views","Winnicott's unique psychoanalytic treatment views, emphasizing the importance of facilitating environments and maternal-child relationships, have significantly influenced the field of psychoanalysis and related fields.","Zhengyan Xie, Yuting Yan, Kejuan Peng",2023,3,"Winnicott is an outstanding representative of the School of Object Relations, and his unique psychoanalytic treatment views have been greatly influential to the psychoanalytical community. Winnicott emphasizes the impact of facilitating environment and the key role of the maternal-child relationship in the early psychological growth of individuals. He puts forward the ideas of the development mechanism of the true self and the false self, which builds a bridge between the characteristics of adult psychopathology and the characteristics of early maternal-child relationships, providing a new perspective for research on individual self-development and psychoanalysis. Winnicott creatively introduces the concepts of the transitional object and the transitional phenomena into the theories of Object Relations. He relates the transitional experience to the field of mental health, and extends it from the relationship between the mother and the child to adult life, which not only has had a revolutionary impact on modern psychoanalysis but also literature, aesthetics, and other fields. Winnicott highlights the importance of the patient's emotional development in the treatment. He advocates holding the patients' sentiments and meeting their emotional needs. He also approves of the emotional reparenting of the patients, to make them gain the ability to establish a relationship with the real world. His treatment views formed through a large number of clinical practices are very practical and full of humanistic care. This review summarizes Winnicott's psychoanalytical treatment views as well as his marvelous original concepts, and analyzes the hot topics of academic research on his theories based on a visualization analysis by using the software CiteSpace, which includes data in the Web of Science Core Collection published from 1978 to 2023 with 365 papers involved. The study provides a macroscopic and panoramic review of Winnicott's theories, and it clearly shows Winnicott's significant influence on the field of psychoanalysis and related fields.","systematic review","Frontiers in Psychiatry","1","10.3389/fpsyt.2023.1237005","https://consensus.app/papers/pragmatism-or-idealism-a-systematic-review-and-visual-xie-yan/ee923ad1b51d5038b9c02775cc885533/"
"Is psychotherapy orientation important for depressive and anxiety disorder-related work disability outcomes? A prospective nationwide register study","Psychotherapy orientation does not significantly impact work disability outcomes for individuals with depressive or anxiety disorders.","S. Selinheimo, K. Gluschkoff, J. Kausto, J. Turunen, A. Väänänen",2025,0,"Common mental disorders are a leading cause of work disability worldwide. While psychotherapies effectively treat these disorders, evidence of the effectiveness of different psychotherapy orientations mainly comes from clients in primary care and small-scale clinical studies focused on symptom change. This study assessed the association between various psychotherapy orientations and changes in work disability due to depressive or anxiety disorders among working-age individuals. A nationally representative 33% random sample of the working-age population (18-64 years) in Finland was used. Data were drawn from national registers (Statistics Finland, Social Insurance Institution of Finland). The sample included individuals who initiated rehabilitative psychotherapy between 2014 and 2017 (N = 10,172) and were followed from 2011 to 2021. The dataset comprises individual-level psychotherapy episode data, focusing on different psychotherapy orientations: psychodynamic and psychoanalytic, solution-focused psychotherapy, cognitive, cognitive-analytic, crisis and trauma-focused, and integrative psychotherapy (91% of all rehabilitative psychotherapies). An interrupted time series (ITS) design was used to investigate the psychotherapy orientation-dependent changes in annual compensated sickness absence (SA) days related to depressive or anxiety disorders. At the onset of psychotherapy, there were significant differences between the orientation groups in their level of SA, with those initiating crisis and trauma-focused or solution-focused therapy exhibiting the highest (42 and 41 days) and psychodynamic and psychoanalytic or integrative psychotherapy the lowest (30 days) level of SA. After the onset, the level and trend of SA showed a similar decrease (76-82%) across orientations. The psychotherapy orientation groups showed insignificant differences in their level of SA at the end of the follow-up. Our register-based results, based on a considerably long follow-up period, align with the earlier findings that clients often experience similar improvements regardless of the psychotherapy orientation. Further examination of clients' pretreatment differences and treatment working mechanisms is needed to guide treatment choices.","non-rct observational study","BMC Psychiatry","1","10.1186/s12888-025-07140-4","https://consensus.app/papers/is-psychotherapy-orientation-important-for-depressive-selinheimo-gluschkoff/1e406712eb8c532ca8966037b087d06b/"
